mid,text_clean,Sentiment
4348440000000000 ,这个新手机屏幕变大了以后觉得打王者我的小乔的腿怎么变短了跑的好慢啊是因为地图因为屏幕变长了吗允悲允悲允悲王者荣耀小米,-1
4348450000000000 ,生而强悍小米唉小米如果没有苹果的体量全靠代工厂可能要赶不上了,-1
4348450000000000 ,小米晚上体验了夜景拍摄照片都是夜景直出的微博视频,0
4348450000000000 ,小米魅族旗舰手机输出的渣渣画质泪我觉得需要个稳定器了泪週燿的微博视频,-1
4348450000000000 ,华为卡通手机壳小米发现夜的美深圳坂田手机装扮专家的微博视频,-1
4348450000000000 ,华为苹果手机发现夜的美小米深圳坂田手机装扮专家的微博视频,-1
4348450000000000 ,小米我想问问各位买了米的有没有什么好的膜推荐一哈我需要那种全包的不是全包的我看着真的很难受允悲允悲允悲,0
4348450000000000 ,小米拍照效果如何和建议雷军雷军林斌林斌小米小米小米小米拍照效果对焦速度图像边缘弯曲夜景严重偏红紫色天空全是紫红色的实在不行去买算法人像模糊相机部门缺人才还是缺人,-1
4348450000000000 ,小米最近不知道为什么我明明锁在后台也不会手动就是划掉退出软件但是有时候就发现在后台列表中突然不见了小米不知道为啥费解,-1
4348460000000000 ,张国全小米张国全小米你好最近发现一个好玩的东西小米低亮度的时候晃手机会出现图二的效果亮度调高就变成变成图三了低亮度挺好玩的可以玩一晚上停不下来憧憬这是不是就是你们说的和调光小米手机小米手机雷军雷军林斌林斌,-1
4348460000000000 ,新手机的烦恼是旧手机的一切怎么搬到新手机特别是我那的图片视频微笑小米手机小米手机为何我旧手机的小米一键换机扫二维码一直在连接不能用啊多么绝望蓝牙限制了我一次传输五千多照片的想法卑微女孩深夜绝望牢骚酸小米,-1
4348460000000000 ,华为华为万广角夜景三摄屏幕指纹手机小米发现夜的美深圳坂田手机装扮专家的微博视频,0
4348460000000000 ,知足者常乐谢谢哈欠小米,1
4348470000000000 ,小米米酒开香到货一周了随便拍一发米探索版拍摄就很可乐的微博视频,1
4348470000000000 ,小米过度动画真的舒服唯一能和打一打的了笑而不语就很可乐的微博视频,1
4348480000000000 ,小米小米深度体验最后的最美的小米手机小米手机小米手机锦程来啦的微博视频,1
4348550000000000 ,很好就是要看续航和小米的对比小米不错,1
